260133	I didn't know that he was Japanese.	127612	Je ne savais pas qu'il était Japonais.
436769	I like windsurfing.	7093327	J'aime la planche à voile.
3729763	We're going to try to get you full custody.	4164816	Nous allons essayer de vous obtenir la garde complète.
54243	Here we go.	3640819	On est partis !
7035269	The teacher's body was right next to the door.	9099401	Le corps du professeur était juste à côté de la porte.
7277846	Joe was the only one who knew that.	7337539	Joe était le seul à le savoir.
1307454	Could you come to tomorrow's meeting?	1308119	Pourriez-vous venir à la réunion de demain ?
8319127	Oh, you're Palestinian!	8769432	Oh, vous êtes palestiniennes !
294190	He likes sports as well as music.	131667	Il aime le sport en plus de la musique.
1887887	I want to believe you.	2071353	Je veux vous croire.
3560957	All of my friends got asked to dance except me.	3561959	Toutes mes amies ont été invitées à danser, sauf moi.
2789967	Yeah, a little.	7694625	Oui, un peu.
6375204	I try not to think about Jack too much.	6487106	J'essaie de ne pas trop penser à Jack.
28055	You must see a doctor.	8010575	Vous devez voir un docteur.
64918	Good morning, Mike.	10829	Bonjour, Mike.
2235849	Let Jami answer.	4551889	Laissez Jami répondre.
3579621	She asked him and he said yes.	3580395	Elle lui demanda et il dit oui.
71083	Every time I see you, I think of your father.	139316	À chaque fois que je te vois, je pense à ton père.
2441	I'm glad to see you back.	4323	Je suis content de te revoir.
3786123	Don't forget to do your homework, okay?	8064966	N'oubliez pas de faire vos devoirs, d'accord ?
5391130	They look like they're having fun.	5391136	On dirait qu'ils s'amusent bien.
2026484	You don't seem to want to come with us.	2026642	Il ne semble pas que tu veuilles venir avec nous.
2544831	I'll take care of you all.	2597009	Je prendrai soin de vous tous.
2538516	I'm sure that's what George would've wanted.	6324771	Je suis sûr que c'est ce que George aurait voulu.
269582	You should tell the truth.	786460	Tu devrais dire la vérité.
3272369	The man whom I was due to meet cannot come.	3272370	L'homme que je devais rencontrer ne peut pas venir.
319029	Father took his place at the head of the table and began to say grace.	134855	Père pris place au bout de la table et entama le bénédicité.
2240661	We're really scared.	4801725	Nous avons vraiment peur.
1645	I think I'm gonna go to sleep.	3463	Je pense que j'vais aller dormir.
