2033680	They want to know what your plan is.	6367909	Elles veulent savoir quel est ton plan.
1936488	I'd like to find somebody to take care of my children.	1936728	J'aimerais trouver quelqu'un pour s'occuper de mes enfants.
3143752	Get down from that tree!	3644751	Descends de cet arbre !
2208345	I must go alone.	2482572	Je dois m'y rendre seul.
2238844	Jack turned right.	8664803	Jack a tourné à droite.
1522322	One of the bulls pushed the fence down.	1526076	L'un des taureaux abattit la clôture.
2301951	I can't believe your parents let you come here by yourself.	2302519	Je n'arrive pas à croire que vos parents vous laissent venir ici tout seul.
7948042	Oh, look at that.	8506381	Oh, regarde ça.
3342399	Charlie's not well enough to go to work today.	5628153	Charlie ne va pas assez bien pour aller travailler aujourd'hui.
314223	She got me a tiny toy.	134365	Elle m'a acheté un petit jouet.
2066925	Yeah, show us your ti..., uh, translations.	1775067	Ouais, montre-nous tes f... phrases...
2408366	I think Muhammad should be warned.	2433018	Je pense qu'on devrait avertir Muhammad.
3129321	We'll see what happens.	4402335	On verra ce qui se passe.
7773581	You take good care and Mary.	2323685	Tu prends bien soin de Mary.
73701	Yes, sir, said Tony.	539900	Oui, monsieur, dit Tony.
278547	My brother insisted on going there alone.	3233411	Mon frère insista pour y aller seul.
2014292	I just want a little more time.	2447887	Je ne veux qu'un supplément de temps.
72951	Can I call you back in twenty minutes?	10044	Puis-je te rappeler dans vingt minutes ?
2346068	Don't cry. It's okay.	2347750	Ne pleurez pas ! Ça va.
3724092	That would take too long.	7243301	Cela prendrait trop longtemps.
250189	Will you tell me?	1474682	Me le direz-vous ?
270273	Man has the gift of speech.	1288858	L'homme est doté de la parole.
7063859	Did Oprah really say that?	7065311	A-t-elle Oprah dit ça vraiment ?
953103	Are you gonna help me or what?	955067	Vas-tu m'aider ou quoi ?
3271145	Hey, do you know it's my birthday today?	3271146	Hé! Tu sais que c'est mon anniversaire aujourd'hui ?
2326234	I figured I could count on you.	2417419	Je me suis imaginée que je pourrais compter sur toi.
2064627	Let me try something.	6000546	Laissez-moi essayer quelque chose.
